Term	inDocumentsCount	RawFrequency	RelativeFrequency	RelativePeakedness	RelativeSkewness	Distributions
avidity	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
babel	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
babies	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
baby	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
bacco	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
baedeker	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
baited	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
balance	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
ballerina's	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
ballet	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
bandy	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
banisters	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
bar	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
barber	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
bare	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
bareback	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
bared	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
bargaining	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
baroque	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
barracks	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
